,5,6,7,8,9
3,1437.0,1923.0,2115.0,2550.0,2849.0
7,2594.0,3134.0,3672.0,4124.0,4664.0
9,3687.0,4499.0,5138.0,5751.0,6565.0
14,3568.0,4308.0,4994.0,5539.0,6396.0
15,3674.0,4411.0,5062.0,5955.0,6488.0
17,5056.0,5968.0,6829.0,7586.0,8758.0
23,5047.0,5956.0,6771.0,7784.0,8731.0
26,4910.0,5870.0,6790.0,7650.0,8605.0
31,5151.0,5942.0,6970.0,7846.0,8712.0
34,6222.0,7399.0,8693.0,9586.0,10662.0
39,6526.0,7346.0,8724.0,9914.0,11263.0
47,6540.0,7511.0,8832.0,9794.0,10930.0
61,6353.0,7508.0,8856.0,9716.0,10582.0
67,7753.0,9237.0,10614.0,12045.0,13424.0
75,8172.0,9165.0,10510.0,12277.0,13420.0
95,8076.0,9274.0,10634.0,11994.0,13610.0
109,8084.0,9621.0,10866.0,12330.0,13907.0
121,7954.0,9440.0,11048.0,12528.0,13720.0
