,3,5,12,17,58,107
5,1509,2522,3647,4993,6368,8103
6,1831,3092,4293,5904,7298,9451
7,2032,3627,4815,6594,8678,10763
8,2383,4134,5418,7690,9734,12066
9,2645,4576,6131,8367,10931,13570
10,3077,5076,6864,9539,11984,14915
11,3286,5571,7600,10289,13222,16399
12,3518,6099,8089,11224,14481,17634
13,4133,6599,8999,12150,15290,19345
14,4233,7133,9616,13133,16728,20798
15,4688,7354,10081,14217,17847,21829
16,4821,7898,10649,15265,18790,23683
17,5406,8670,11334,15943,20116,24658
18,5549,9087,12169,17008,21185,26464
19,6022,9625,12731,17793,22402,27810
20,6356,10150,13352,18543,23569,29389
